time,year,lat,long,commodity,volume,state,release type,water,cost,cause
2010-03-21 01:00:00,2010,41.5569,-87.8861,CRUDE OIL,3780,IL,LEAK,NO,199351.42262317849,EQUIPMENT FAILURE
2010-03-25 17:36:00,2010,28.68555,-91.04555,CRUDE OIL,210,,LEAK,YES,2768607.650242882,OTHER OUTSIDE FORCE DAMAGE
2010-03-23 14:00:00,2010,30.711209999999998,-91.28349,REFINED LIQUIDS,42,LA,LEAK,NO,6003.18195697433,CORROSION FAILURE
2010-03-20 12:03:00,2010,35.01937,-119.06305,CRUDE OIL,10080,CA,LEAK,NO,21129.99306037474,CORROSION FAILURE
2010-03-24 08:00:00,2010,35.93985,-96.75629,CRUDE OIL,0,OK,LEAK,NO,1697.9458709229725,EQUIPMENT FAILURE
2010-03-23 18:30:00,2010,30.241,-93.27546,CRUDE OIL,0,LA,LEAK,NO,4427.236641221383,EQUIPMENT FAILURE
2010-03-22 13:30:00,2010,29.399720000000002,-94.96417,CRUDE OIL,0,TX,LEAK,NO,133357.92643997242,EQUIPMENT FAILURE
2010-03-31 09:00:00,2010,37.157779999999995,-78.835,REFINED LIQUIDS,42,VA,LEAK,YES,155199.79902845266,NATURAL FORCE DAMAGE
2010-03-25 13:42:00,2010,39.919340000000005,-75.20447,REFINED LIQUIDS,71400,PA,LEAK,NO,125773.76821651637,EQUIPMENT FAILURE
2010-03-29 10:15:00,2010,30.159570000000002,-93.33989,CRUDE OIL,0,LA,LEAK,NO,20287.308813324104,CORROSION FAILURE
2010-04-05 07:55:00,2010,36.13252,-96.02906,REFINED LIQUIDS,0,OK,LEAK,NO,10076.994309507287,EQUIPMENT FAILURE
2010-01-14 13:15:00,2010,42.382290000000005,-78.91763,CRUDE OIL,0,NY,OVERFILL OR OVERFLOW,YES,94351.70770298412,NATURAL FORCE DAMAGE
2010-03-30 14:00:00,2010,39.46308,-92.87136,FLAMMABLE GASES,27552,MO,LEAK,NO,139105.78764746716,NATURAL FORCE DAMAGE
2010-03-29 18:45:00,2010,41.1784,-87.8504,REFINED LIQUIDS,1680,IL,MECHANICAL PUNCTURE,NO,145004.57737682172,EXCAVATION DAMAGE
2010-04-07 10:45:00,2010,32.06374,-97.81895,REFINED LIQUIDS,0,TX,LEAK,NO,46020.62179042326,MATERIAL FAILURE OF PIPE OR WELD
2010-03-08 11:30:00,2010,39.13844,-94.60013000000001,REFINED LIQUIDS,7056,KS,LEAK,NO,107687.50034698134,NATURAL FORCE DAMAGE
2010-04-09 14:00:00,2010,32.5375,-100.8377,CRUDE OIL,0,TX,LEAK,NO,2238.773074253993,EQUIPMENT FAILURE
2010-04-03 14:55:00,2010,39.64343,-94.61827,CRUDE OIL,840,MO,LEAK,NO,238014.27897293642,CORROSION FAILURE
2010-04-08 18:58:00,2010,38.63064,-93.39656,REFINED LIQUIDS,0,MO,LEAK,NO,33.9589174184594,NATURAL FORCE DAMAGE
2010-04-05 23:00:00,2010,35.421479999999995,-96.14583,CRUDE OIL,126,OK,OTHER,NO,9829.219986120746,EQUIPMENT FAILURE
2010-04-05 23:45:00,2010,29.2564,-89.1883,CRUDE OIL,16800,LA,MECHANICAL PUNCTURE,YES,17524813.768216517,EXCAVATION DAMAGE
